date,word,letter1,letter2,letter3,letter4,letter5,letter1rank,letter2rank,letter3rank,letter4rank,letter5rank,rarityscore,positionalraritypercentile,summativeraritypercentile
29-Sep-21,agate,a,g,a,t,e,6,20,1,3,2,32,0.46,0.249537465
30-Sep-21,spicy,s,p,i,c,y,1,12,3,14,3,33,0.49,0.684397163
1-Oct-21,spray,s,p,r,a,y,1,12,2,2,3,20,0.09,0.312365094
2-Oct-21,essay,e,s,s,a,y,17,17,10,2,3,49,0.89,0.018809744
3-Oct-21,fjord,f,j,o,r,d,11,26,4,7,4,52,0.92,0.974560592
4-Oct-21,spend,s,p,e,n,d,1,12,6,5,4,28,0.31,0.380820228
5-Oct-21,kebab,k,e,b,a,b,15,3,16,2,22,58,0.96,0.947656491
6-Oct-21,guild,g,u,i,l,d,9,5,3,6,4,27,0.28,0.810823312
7-Oct-21,aback,a,b,a,c,k,6,19,1,14,13,53,0.93,0.905565834
8-Oct-21,motor,m,o,t,o,r,7,2,9,8,7,33,0.49,0.346284305
9-Oct-21,alone,a,l,o,n,e,6,7,4,5,2,24,0.19,0.073851372
10-Oct-21,hatch,h,a,t,c,h,13,1,9,14,11,48,0.88,0.905565834
11-Oct-21,hyper,h,y,p,e,r,13,10,15,1,7,46,0.84,0.763259328
12-Oct-21,thumb,t,h,u,m,b,5,8,8,15,22,58,0.96,0.98519889
13-Oct-21,dowry,d,o,w,r,y,8,2,18,7,3,38,0.65,0.852605612
14-Oct-21,ought,o,u,g,h,t,18,5,14,18,5,60,0.97,0.890148011
15-Oct-21,belch,b,e,l,c,h,3,3,7,14,11,38,0.65,0.905565834
16-Oct-21,dutch,d,u,t,c,h,8,5,9,14,11,47,0.86,0.928230034
17-Oct-21,pilot,p,i,l,o,t,4,4,7,8,5,28,0.31,0.452898551
18-Oct-21,tweed,t,w,e,e,d,5,15,6,1,4,31,0.42,0.624884366
19-Oct-21,comet,c,o,m,e,t,2,2,11,1,5,21,0.11,0.558510638
20-Oct-21,jaunt,j,a,u,n,t,20,1,8,5,5,39,0.68,0.873342584
21-Oct-21,enema,e,n,e,m,a,17,9,6,15,6,53,0.93,0.19164354
22-Oct-21,steed,s,t,e,e,d,1,11,6,1,4,23,0.17,0.060206599
23-Oct-21,abyss,a,b,y,s,s,6,19,20,9,1,55,0.95,0.312365094
24-Oct-21,growl,g,r,o,w,l,9,6,4,21,9,49,0.89,0.873342584
25-Oct-21,fling,f,l,i,n,g,11,7,3,5,16,42,0.76,0.937557817
26-Oct-21,dozen,d,o,z,e,n,8,2,22,1,8,41,0.74,0.763259328
27-Oct-21,boozy,b,o,o,z,y,3,2,4,22,3,34,0.53,0.956213383
28-Oct-21,erode,e,r,o,d,e,17,6,4,11,2,40,0.71,0.060206599
29-Oct-21,world,w,o,r,l,d,14,2,2,6,4,28,0.31,0.738282455
30-Oct-21,gouge,g,o,u,g,e,9,2,8,12,2,33,0.49,0.785769349
31-Oct-21,click,c,l,i,c,k,2,7,3,14,13,39,0.68,0.928230034
1-Nov-21,briar,b,r,i,a,r,3,6,3,2,7,21,0.11,0.380820228
2-Nov-21,great,g,r,e,a,t,9,6,6,2,5,28,0.31,0.312365094
3-Nov-21,altar,a,l,t,a,r,6,7,9,2,7,31,0.42,0.0871107
4-Nov-21,pulpy,p,u,l,p,y,4,5,7,13,3,32,0.46,0.917052112
5-Nov-21,blurt,b,l,u,r,t,3,7,8,7,5,30,0.39,0.738282455
6-Nov-21,coast,c,o,a,s,t,2,2,1,9,5,19,0.08,0.145004625
7-Nov-21,duchy,d,u,c,h,y,8,5,12,18,3,46,0.84,0.963536849
8-Nov-21,groin,g,r,o,i,n,9,6,4,4,8,31,0.42,0.52436016
9-Nov-21,fixer,f,i,x,e,r,11,4,23,1,7,46,0.84,0.928230034
10-Nov-21,group,g,r,o,u,p,9,6,4,16,15,50,0.90,0.785769349
11-Nov-21,rogue,r,o,g,u,e,10,2,14,16,2,44,0.81,0.417514647
12-Nov-21,badly,b,a,d,l,y,3,1,13,6,3,26,0.25,0.810823312
13-Nov-21,smart,s,m,a,r,t,1,13,1,7,5,27,0.28,0.220629047
14-Nov-21,pithy,p,i,t,h,y,4,4,9,18,3,38,0.65,0.905565834
15-Nov-21,gaudy,g,a,u,d,y,9,1,8,11,3,32,0.46,0.852605612
16-Nov-21,chill,c,h,i,l,l,2,8,3,6,9,28,0.31,0.763259328
17-Nov-21,heron,h,e,r,o,n,13,3,2,8,8,34,0.53,0.346284305
18-Nov-21,vodka,v,o,d,k,a,19,2,13,10,6,50,0.90,0.937557817
19-Nov-21,finer,f,i,n,e,r,11,4,5,1,7,28,0.31,0.558510638
20-Nov-21,surer,s,u,r,e,r,1,5,2,1,7,16,0.03,0.049105766
21-Nov-21,radio,r,a,d,i,o,10,1,13,4,10,38,0.65,0.145004625
22-Nov-21,rouge,r,o,u,g,e,10,2,8,12,2,34,0.53,0.417514647
23-Nov-21,perch,p,e,r,c,h,4,3,2,14,11,34,0.53,0.785769349
24-Nov-21,retch,r,e,t,c,h,10,3,9,14,11,47,0.86,0.624884366
25-Nov-21,wrote,w,r,o,t,e,14,6,4,3,2,29,0.35,0.490826395
26-Nov-21,clock,c,l,o,c,k,2,7,4,14,13,40,0.71,0.905565834
27-Nov-21,tilde,t,i,l,d,e,5,4,7,11,2,29,0.35,0.2804502
28-Nov-21,store,s,t,o,r,e,1,11,4,7,2,25,0.22,0.02351218
29-Nov-21,prove,p,r,o,v,e,4,6,4,20,2,36,0.59,0.712997225
30-Nov-21,bring,b,r,i,n,g,3,6,3,5,16,33,0.49,0.890148011
1-Dec-21,solve,s,o,l,v,e,1,2,7,20,2,32,0.46,0.346284305
2-Dec-21,cheat,c,h,e,a,t,2,8,6,2,5,23,0.17,0.558510638
3-Dec-21,grime,g,r,i,m,e,9,6,3,15,2,35,0.56,0.653484428
4-Dec-21,exult,e,x,u,l,t,17,21,8,6,5,57,0.96,0.832947888
5-Dec-21,usher,u,s,h,e,r,21,17,24,1,7,70,1.00,0.2804502
6-Dec-21,epoch,e,p,o,c,h,17,12,4,14,11,58,0.96,0.763259328
7-Dec-21,triad,t,r,i,a,d,5,6,3,2,4,20,0.09,0.249537465
8-Dec-21,break,b,r,e,a,k,3,6,6,2,13,30,0.39,0.712997225
9-Dec-21,rhino,r,h,i,n,o,10,8,3,5,10,36,0.59,0.490826395
10-Dec-21,viral,v,i,r,a,l,19,4,2,2,9,36,0.59,0.590425532
11-Dec-21,conic,c,o,n,i,c,2,2,5,4,17,30,0.39,0.653484428
12-Dec-21,masse,m,a,s,s,e,7,1,10,9,2,29,0.35,0.039469627
13-Dec-21,sonic,s,o,n,i,c,1,2,5,4,17,29,0.35,0.249537465
14-Dec-21,vital,v,i,t,a,l,19,4,9,2,9,43,0.79,0.684397163
15-Dec-21,trace,t,r,a,c,e,5,6,1,14,2,28,0.31,0.19164354
16-Dec-21,using,u,s,i,n,g,21,17,3,5,16,62,0.98,0.590425532
17-Dec-21,peach,p,e,a,c,h,4,3,1,14,11,33,0.49,0.738282455
18-Dec-21,champ,c,h,a,m,p,2,8,1,15,15,41,0.74,0.956213383
19-Dec-21,baton,b,a,t,o,n,3,1,9,8,8,29,0.35,0.558510638
20-Dec-21,brake,b,r,a,k,e,3,6,1,10,2,22,0.14,0.712997225
21-Dec-21,pluck,p,l,u,c,k,4,7,8,14,13,46,0.84,0.968547641
22-Dec-21,craze,c,r,a,z,e,2,6,1,22,2,33,0.49,0.684397163
23-Dec-21,gripe,g,r,i,p,e,9,6,3,13,2,33,0.49,0.624884366
24-Dec-21,weary,w,e,a,r,y,14,3,1,7,3,28,0.31,0.590425532
25-Dec-21,picky,p,i,c,k,y,4,4,12,10,3,33,0.49,0.974560592
26-Dec-21,acute,a,c,u,t,e,6,14,8,3,2,33,0.49,0.346284305
27-Dec-21,ferry,f,e,r,r,y,11,3,2,7,3,26,0.25,0.624884366
28-Dec-21,aside,a,s,i,d,e,6,17,3,11,2,39,0.68,0.049105766
29-Dec-21,tapir,t,a,p,i,r,5,1,15,4,7,32,0.46,0.346284305
30-Dec-21,troll,t,r,o,l,l,5,6,4,6,9,30,0.39,0.19164354
31-Dec-21,unify,u,n,i,f,y,21,9,3,19,3,55,0.95,0.917052112
1-Jan-22,rebus,r,e,b,u,s,10,3,16,16,1,46,0.84,0.346284305
2-Jan-22,boost,b,o,o,s,t,3,2,4,9,5,23,0.17,0.312365094
3-Jan-22,truss,t,r,u,s,s,5,6,8,9,1,29,0.35,0.073851372
4-Jan-22,siege,s,i,e,g,e,1,4,6,12,2,25,0.22,0.121877891
5-Jan-22,tiger,t,i,g,e,r,5,4,14,1,7,31,0.42,0.417514647
6-Jan-22,banal,b,a,n,a,l,3,1,5,2,9,20,0.09,0.490826395
7-Jan-22,slump,s,l,u,m,p,1,7,8,15,15,46,0.84,0.712997225
8-Jan-22,crank,c,r,a,n,k,2,6,1,5,13,27,0.28,0.763259328
9-Jan-22,gorge,g,o,r,g,e,9,2,2,12,2,27,0.28,0.653484428
10-Jan-22,query,q,u,e,r,y,25,5,6,7,3,46,0.84,0.890148011
11-Jan-22,drink,d,r,i,n,k,8,6,3,5,13,35,0.56,0.785769349
12-Jan-22,favor,f,a,v,o,r,11,1,19,8,7,46,0.84,0.873342584
13-Jan-22,abbey,a,b,b,e,y,6,19,16,1,3,45,0.83,0.852605612
14-Jan-22,tangy,t,a,n,g,y,5,1,5,12,3,26,0.25,0.763259328
15-Jan-22,panic,p,a,n,i,c,4,1,5,4,17,31,0.42,0.653484428
16-Jan-22,solar,s,o,l,a,r,1,2,7,2,7,19,0.08,0.02351218
17-Jan-22,shire,s,h,i,r,e,1,8,3,7,2,21,0.11,0.165895776
18-Jan-22,proxy,p,r,o,x,y,4,6,4,25,3,42,0.76,0.947656491
19-Jan-22,point,p,o,i,n,t,4,2,3,5,5,19,0.08,0.52436016
20-Jan-22,robot,r,o,b,o,t,10,2,16,8,5,41,0.74,0.452898551
21-Jan-22,prick,p,r,i,c,k,4,6,3,14,13,40,0.71,0.917052112
22-Jan-22,wince,w,i,n,c,e,14,4,5,14,2,39,0.68,0.810823312
23-Jan-22,crimp,c,r,i,m,p,2,6,3,15,15,41,0.74,0.852605612
